year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,share_medical_debt_coll,share_medical_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,081,Alabama,Lee County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,All,all,NA,NA,NA,NA,35,Strong,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,35,Strong,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,26,Strong,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,All,all,NA,NA,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,All,all,NA,NA,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,All,all,NA,NA,NA,NA,28,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,21,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,31,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,22,Strong,NA,NA,NA,NA
2014,01,091,Alabama,Marengo County,TRUE,All,all,NA,NA,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,091,Alabama,Marengo County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,091,Alabama,Marengo County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,091,Alabama,Marengo County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,093,Alabama,Marion County,TRUE,All,all,NA,NA,NA,NA,32,Strong,NA,NA,NA,NA
2014,01,093,Alabama,Marion County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,093,Alabama,Marion County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,32,Strong,NA,NA,NA,NA
2014,01,093,Alabama,Marion County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,095,Alabama,Marshall County,TRUE,All,all,NA,NA,NA,NA,35,Strong,NA,NA,NA,NA
2014,01,095,Alabama,Marshall County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,095,Alabama,Marshall County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,36,Strong,NA,NA,NA,NA
2014,01,095,Alabama,Marshall County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,27,Strong,NA,NA,NA,NA
2014,01,097,Alabama,Mobile County,TRUE,All,all,NA,NA,NA,NA,17,Strong,NA,NA,NA,NA
2014,01,097,Alabama,Mobile County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,11,Strong,NA,NA,NA,NA
2014,01,097,Alabama,Mobile County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,20,Strong,NA,NA,NA,NA
2014,01,097,Alabama,Mobile County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,099,Alabama,Monroe County,TRUE,All,all,NA,NA,NA,NA,22,Strong,NA,NA,NA,NA
2014,01,099,Alabama,Monroe County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,099,Alabama,Monroe County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,23,Strong,NA,NA,NA,NA
2014,01,099,Alabama,Monroe County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,23,Strong,NA,NA,NA,NA
2014,01,101,Alabama,Montgomery County,TRUE,All,all,NA,NA,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,101,Alabama,Montgomery County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,101,Alabama,Montgomery County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,101,Alabama,Montgomery County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,8,Strong,NA,NA,NA,NA
