year,state,place,state_name,place_name,subgroup_type,subgroup,share_digital_access,share_digital_access_quality,share_poverty_exposure,share_poverty_exposure_quality,rate_juv_arrest_quality,rate_juv_arrest
2021,01,50000,Alabama,Mobile city,race-ethnicity,Black,0.7193606044603323,1,NA,NA,2,2344.1481229828432
2021,01,50000,Alabama,Mobile city,race-ethnicity,Hispanic,0.71610779674964,1,NA,NA,2,1213.5922330097087
2021,01,50000,Alabama,Mobile city,race-ethnicity,White,0.8659992794276596,1,NA,NA,2,997.6720984369804
2021,01,51000,Alabama,Montgomery city,all,All,0.8413855199928366,1,NA,NA,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,Other Races and Ethnicities,0.8474143977555315,1,NA,NA,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,Black,0.8201954134366926,1,NA,NA,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,Hispanic,0.7151652217615279,1,NA,NA,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,White,0.8825184149335762,1,NA,NA,3,0
2021,01,77256,Alabama,Tuscaloosa city,all,All,0.7727199451900214,1,NA,NA,1,564.4402634054563
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Other Races and Ethnicities,0.7741158765989465,2,NA,NA,1,0
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Black,0.7756218108596664,1,NA,NA,1,657.1741511500547
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Hispanic,0.770529724728198,2,NA,NA,1,210.97046413502107
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,White,0.7699370194667103,1,NA,NA,1,495.458298926507
2021,02,03000,Alaska,Anchorage municipality,all,All,0.9214001264762686,1,NA,NA,3,0
2021,02,03000,Alaska,Anchorage municipality,race-ethnicity,Other Races and Ethnicities,0.906767530169586,1,NA,NA,3,0
2021,02,03000,Alaska,Anchorage municipality,race-ethnicity,Black,0.8893923921368394,1,NA,NA,3,0
2021,02,03000,Alaska,Anchorage municipality,race-ethnicity,Hispanic,0.9064895799589676,1,NA,NA,3,0
2021,02,03000,Alaska,Anchorage municipality,race-ethnicity,White,0.9325954878346258,1,NA,NA,3,0
2021,04,04720,Arizona,Avondale city,all,All,0.9041162777493896,1,NA,NA,1,1930.5019305019305
2021,04,04720,Arizona,Avondale city,race-ethnicity,Other Races and Ethnicities,0.9016803597389864,1,NA,NA,1,95.57945041816008
2021,04,04720,Arizona,Avondale city,race-ethnicity,Black,0.9111289951713036,2,NA,NA,1,7361.963190184049
2021,04,04720,Arizona,Avondale city,race-ethnicity,Hispanic,0.8802572684382435,1,NA,NA,1,0
2021,04,04720,Arizona,Avondale city,race-ethnicity,White,0.90433822052621,1,NA,NA,1,2344.7069116360453
2021,04,07940,Arizona,Buckeye city,all,All,0.895620381001215,1,NA,NA,1,1241.486335028882
2021,04,07940,Arizona,Buckeye city,race-ethnicity,Other Races and Ethnicities,0.8789378765204712,1,NA,NA,1,23.337222870478413
2021,04,07940,Arizona,Buckeye city,race-ethnicity,Black,0.8675562636924915,2,NA,NA,1,7400.379506641367
2021,04,07940,Arizona,Buckeye city,race-ethnicity,Hispanic,0.8893296787843816,1,NA,NA,1,882.837049229388
2021,04,07940,Arizona,Buckeye city,race-ethnicity,White,0.905439287724505,1,NA,NA,1,1473.4050390452337
2021,04,12000,Arizona,Chandler city,all,All,0.9522865669012146,1,NA,NA,1,1330.5120066685904
2021,04,12000,Arizona,Chandler city,race-ethnicity,Other Races and Ethnicities,0.970403374490195,1,NA,NA,1,276.5432098765432
2021,04,12000,Arizona,Chandler city,race-ethnicity,Black,0.9552375951693358,1,NA,NA,1,4264.392324093817
2021,04,12000,Arizona,Chandler city,race-ethnicity,Hispanic,0.923336802771,1,NA,NA,1,0
2021,04,12000,Arizona,Chandler city,race-ethnicity,White,0.9450559515535512,1,NA,NA,1,1573.7363210005212
2021,04,23620,Arizona,Flagstaff city,all,All,0.7569528257333263,1,NA,NA,1,944.7111661762428
2021,04,23620,Arizona,Flagstaff city,race-ethnicity,Other Races and Ethnicities,0.7559862012987013,1,NA,NA,1,1779.8013245033114
2021,04,23620,Arizona,Flagstaff city,race-ethnicity,Black,0.3906382978723405,3,NA,NA,1,2586.206896551724
2021,04,23620,Arizona,Flagstaff city,race-ethnicity,Hispanic,0.7355652595827268,1,NA,NA,1,108.8139281828074
2021,04,23620,Arizona,Flagstaff city,race-ethnicity,White,0.7650747185630906,1,NA,NA,1,356.687898089172
2021,04,27400,Arizona,Gilbert town,all,All,0.9740551918215132,1,NA,NA,1,1293.5634158402956
2021,04,27400,Arizona,Gilbert town,race-ethnicity,Other Races and Ethnicities,0.9743267695582756,1,NA,NA,1,212.94718909710392
2021,04,27400,Arizona,Gilbert town,race-ethnicity,Black,0.9538625569448484,2,NA,NA,1,4563.758389261745
2021,04,27400,Arizona,Gilbert town,race-ethnicity,Hispanic,0.9608979646431997,1,NA,NA,1,1173.7376207360314
2021,04,27400,Arizona,Gilbert town,race-ethnicity,White,0.9750093922139766,1,NA,NA,1,1385.217653160237
2021,04,27820,Arizona,Glendale city,all,All,0.8440035004172008,1,NA,NA,NA,NA
2021,04,27820,Arizona,Glendale city,race-ethnicity,Other Races and Ethnicities,0.8493262902177905,1,NA,NA,NA,NA
2021,04,27820,Arizona,Glendale city,race-ethnicity,Black,0.8115614767980128,1,NA,NA,NA,NA
2021,04,27820,Arizona,Glendale city,race-ethnicity,Hispanic,0.7962756467439785,1,NA,NA,NA,NA
2021,04,27820,Arizona,Glendale city,race-ethnicity,White,0.845262106395027,1,NA,NA,NA,NA
2021,04,28380,Arizona,Goodyear city,all,All,0.915313237445409,1,NA,NA,1,654.9846886696156
2021,04,28380,Arizona,Goodyear city,race-ethnicity,Other Races and Ethnicities,0.9251267440398876,1,NA,NA,1,22.40645305848084
2021,04,28380,Arizona,Goodyear city,race-ethnicity,Black,0.9084745762711864,2,NA,NA,1,2762.430939226519
2021,04,28380,Arizona,Goodyear city,race-ethnicity,Hispanic,0.9056519651553604,1,NA,NA,1,245.18388791593696
2021,04,28380,Arizona,Goodyear city,race-ethnicity,White,0.9122610199598,1,NA,NA,1,822.0429289085098
2021,04,46000,Arizona,Mesa city,all,All,0.9209043861199956,1,NA,NA,2,1309.2986165201587
2021,04,46000,Arizona,Mesa city,race-ethnicity,Other Races and Ethnicities,0.9239877956656954,1,NA,NA,2,297.9616712941017
2021,04,46000,Arizona,Mesa city,race-ethnicity,Black,0.9034620808880396,1,NA,NA,2,3654.822335025381
2021,04,46000,Arizona,Mesa city,race-ethnicity,Hispanic,0.9090689839142287,1,NA,NA,2,0
2021,04,46000,Arizona,Mesa city,race-ethnicity,White,0.9210892360368071,1,NA,NA,2,1513.812154696133
2021,04,54050,Arizona,Peoria city,all,All,0.940308842877917,1,NA,NA,1,2283.9741149600304
2021,04,54050,Arizona,Peoria city,race-ethnicity,Other Races and Ethnicities,0.9525948103792417,1,NA,NA,1,158.17223198594024
2021,04,54050,Arizona,Peoria city,race-ethnicity,Black,0.8918918918918919,2,NA,NA,1,7991.587802313355
2021,04,54050,Arizona,Peoria city,race-ethnicity,Hispanic,0.9317510493859148,1,NA,NA,1,2290.871225269004
2021,04,54050,Arizona,Peoria city,race-ethnicity,White,0.9391213462007456,1,NA,NA,1,2726.9565217391305
2021,04,55000,Arizona,Phoenix city,all,All,0.8765717711874473,1,NA,NA,NA,NA
2021,04,55000,Arizona,Phoenix city,race-ethnicity,Other Races and Ethnicities,0.8732252084235299,1,NA,NA,NA,NA
2021,04,55000,Arizona,Phoenix city,race-ethnicity,Black,0.838116859014752,1,NA,NA,NA,NA
2021,04,55000,Arizona,Phoenix city,race-ethnicity,Hispanic,0.8354301178062448,1,NA,NA,NA,NA
2021,04,55000,Arizona,Phoenix city,race-ethnicity,White,0.8823893878705976,1,NA,NA,NA,NA
2021,04,65000,Arizona,Scottsdale city,all,All,0.9494145002827996,1,NA,NA,1,1891.965999451604
2021,04,65000,Arizona,Scottsdale city,race-ethnicity,Other Races and Ethnicities,0.9578219073279448,1,NA,NA,1,684.2285323297981
2021,04,65000,Arizona,Scottsdale city,race-ethnicity,Black,0.956439393939394,2,NA,NA,1,3969.957081545064
2021,04,65000,Arizona,Scottsdale city,race-ethnicity,Hispanic,0.9376930792377132,1,NA,NA,1,1430.8426073131957
2021,04,65000,Arizona,Scottsdale city,race-ethnicity,White,0.9479891021038448,1,NA,NA,1,2002.7816411682893
2021,04,71510,Arizona,Surprise city,all,All,0.9478977973568282,1,NA,NA,1,2215.315060751625
2021,04,71510,Arizona,Surprise city,race-ethnicity,Other Races and Ethnicities,0.935690053591622,1,NA,NA,1,499.3342210386152
2021,04,71510,Arizona,Surprise city,race-ethnicity,Black,0.8877892202755115,1,NA,NA,1,4620.4620462046205
2021,04,71510,Arizona,Surprise city,race-ethnicity,Hispanic,0.9490684074527403,1,NA,NA,1,0
2021,04,71510,Arizona,Surprise city,race-ethnicity,White,0.9540150273104272,1,NA,NA,1,2231.3296903460837
2021,04,73000,Arizona,Tempe city,all,All,0.8668973845758182,1,NA,NA,NA,NA
2021,04,73000,Arizona,Tempe city,race-ethnicity,Other Races and Ethnicities,0.8624928811295929,1,NA,NA,NA,NA
2021,04,73000,Arizona,Tempe city,race-ethnicity,Black,0.8306639596962178,1,NA,NA,NA,NA
2021,04,73000,Arizona,Tempe city,race-ethnicity,Hispanic,0.8406533575317604,1,NA,NA,NA,NA
2021,04,73000,Arizona,Tempe city,race-ethnicity,White,0.8730569948186528,1,NA,NA,NA,NA
2021,04,77000,Arizona,Tucson city,all,All,0.8664113555829325,1,NA,NA,3,10.112654976437517
2021,04,77000,Arizona,Tucson city,race-ethnicity,Other Races and Ethnicities,0.8547385930686954,1,NA,NA,3,15.581987222770476
2021,04,77000,Arizona,Tucson city,race-ethnicity,Black,0.791276898795088,1,NA,NA,3,0
2021,04,77000,Arizona,Tucson city,race-ethnicity,Hispanic,0.8828383937642611,1,NA,NA,3,6.484243288808196
2021,04,77000,Arizona,Tucson city,race-ethnicity,White,0.8774833582374215,1,NA,NA,3,0
2021,04,85540,Arizona,Yuma city,all,All,0.8712613237488702,1,NA,NA,2,1927.2148938160728
2021,04,85540,Arizona,Yuma city,race-ethnicity,Other Races and Ethnicities,0.897377678285897,1,NA,NA,2,183.53434714210803
2021,04,85540,Arizona,Yuma city,race-ethnicity,Black,0.7117153138744502,2,NA,NA,2,8947.368421052632
2021,04,85540,Arizona,Yuma city,race-ethnicity,Hispanic,0.894600910097159,1,NA,NA,2,1765.670324126624
2021,04,85540,Arizona,Yuma city,race-ethnicity,White,0.8644575859765733,1,NA,NA,2,2617.801047120419
2021,05,23290,Arkansas,Fayetteville city,all,All,0.8458889975019007,1,NA,NA,1,1116.1767017764505
2021,05,23290,Arkansas,Fayetteville city,race-ethnicity,Other Races and Ethnicities,0.8675362318840579,1,NA,NA,1,128.8659793814433
2021,05,23290,Arkansas,Fayetteville city,race-ethnicity,Black,0.773086102441711,1,NA,NA,1,4720.27972027972
2021,05,23290,Arkansas,Fayetteville city,race-ethnicity,Hispanic,0.9025945789244818,1,NA,NA,1,851.5815085158151
2021,05,23290,Arkansas,Fayetteville city,race-ethnicity,White,0.8472323304450518,1,NA,NA,1,944.0641963653528
2021,05,24550,Arkansas,Fort Smith city,all,All,0.8317137214417164,1,NA,NA,1,4469.6889266376475
2021,05,24550,Arkansas,Fort Smith city,race-ethnicity,Other Races and Ethnicities,0.8561238487164413,1,NA,NA,1,149.32802389248383
2021,05,24550,Arkansas,Fort Smith city,race-ethnicity,Black,0.7829052969502408,1,NA,NA,1,12008.97867564534
2021,05,24550,Arkansas,Fort Smith city,race-ethnicity,Hispanic,0.8196294151708164,1,NA,NA,1,280.8988764044944
2021,05,24550,Arkansas,Fort Smith city,race-ethnicity,White,0.8271180400890868,1,NA,NA,1,6829.2682926829275
2021,05,35710,Arkansas,Jonesboro city,all,All,0.8329205366357069,1,NA,NA,1,2233.192289609779
2021,05,35710,Arkansas,Jonesboro city,race-ethnicity,Other Races and Ethnicities,0.8466854724964739,1,NA,NA,1,0
2021,05,35710,Arkansas,Jonesboro city,race-ethnicity,Black,0.7915853658536586,1,NA,NA,1,5648.369132856006
2021,05,35710,Arkansas,Jonesboro city,race-ethnicity,Hispanic,0.8182356423919479,1,NA,NA,1,731.7073170731708
2021,05,35710,Arkansas,Jonesboro city,race-ethnicity,White,0.8436609291134555,1,NA,NA,1,960.3596240294238
2021,05,41000,Arkansas,Little Rock city,all,All,0.8568944936179065,1,NA,NA,1,2642.09057221233
2021,05,41000,Arkansas,Little Rock city,race-ethnicity,Other Races and Ethnicities,0.864062958255939,1,NA,NA,1,32.520325203252035
2021,05,41000,Arkansas,Little Rock city,race-ethnicity,Black,0.8299510399499573,1,NA,NA,1,5150.571131879543
2021,05,41000,Arkansas,Little Rock city,race-ethnicity,Hispanic,0.7319094676442461,1,NA,NA,1,1058.66784296427
2021,05,41000,Arkansas,Little Rock city,race-ethnicity,White,0.8781864789534718,1,NA,NA,1,594.500866980431
2021,05,66080,Arkansas,Springdale city,all,All,0.8140580064503359,1,NA,NA,1,3746.7152665932017
2021,05,66080,Arkansas,Springdale city,race-ethnicity,Other Races and Ethnicities,0.7797036470009295,1,NA,NA,1,1172.7257497068183
2021,05,66080,Arkansas,Springdale city,race-ethnicity,Black,0.9327797548438118,2,NA,NA,1,15306.122448979591
2021,05,66080,Arkansas,Springdale city,race-ethnicity,Hispanic,0.7740540862876055,1,NA,NA,1,3792.347884712624
2021,05,66080,Arkansas,Springdale city,race-ethnicity,White,0.8345019238991022,1,NA,NA,1,5965.909090909091
2021,06,00562,California,Alameda city,all,All,0.9371552604698672,1,NA,NA,NA,NA
2021,06,00562,California,Alameda city,race-ethnicity,Other Races and Ethnicities,0.9468586107246066,1,NA,NA,NA,NA
2021,06,00562,California,Alameda city,race-ethnicity,Black,0.8365848542059996,2,NA,NA,NA,NA
2021,06,00562,California,Alameda city,race-ethnicity,Hispanic,0.9163752314338612,1,NA,NA,NA,NA
2021,06,00562,California,Alameda city,race-ethnicity,White,0.9403830739891104,1,NA,NA,NA,NA
2021,06,00884,California,Alhambra city,all,All,0.9246519344987616,1,NA,NA,NA,NA
2021,06,00884,California,Alhambra city,race-ethnicity,Other Races and Ethnicities,0.9363396860122946,1,NA,NA,NA,NA
2021,06,00884,California,Alhambra city,race-ethnicity,Black,0.7497237569060774,2,NA,NA,NA,NA
2021,06,00884,California,Alhambra city,race-ethnicity,Hispanic,0.9321594505420512,1,NA,NA,NA,NA
2021,06,00884,California,Alhambra city,race-ethnicity,White,0.8977942516862125,1,NA,NA,NA,NA
2021,06,02000,California,Anaheim city,all,All,0.9133869800461798,1,NA,NA,NA,NA
2021,06,02000,California,Anaheim city,race-ethnicity,Other Races and Ethnicities,0.9235281888699765,1,NA,NA,NA,NA
2021,06,02000,California,Anaheim city,race-ethnicity,Black,0.9185685203042966,1,NA,NA,NA,NA
2021,06,02000,California,Anaheim city,race-ethnicity,Hispanic,0.9039109535444514,1,NA,NA,NA,NA
2021,06,02000,California,Anaheim city,race-ethnicity,White,0.9046851766741464,1,NA,NA,NA,NA
2021,06,02252,California,Antioch city,all,All,0.9426928104575164,1,NA,NA,NA,NA
2021,06,02252,California,Antioch city,race-ethnicity,Other Races and Ethnicities,0.9480295368809696,1,NA,NA,NA,NA
2021,06,02252,California,Antioch city,race-ethnicity,Black,0.9607766653664456,1,NA,NA,NA,NA
2021,06,02252,California,Antioch city,race-ethnicity,Hispanic,0.9434023366464888,1,NA,NA,NA,NA
2021,06,02252,California,Antioch city,race-ethnicity,White,0.9263640926364092,1,NA,NA,NA,NA
2021,06,02364,California,Apple Valley town,all,All,0.9405797293888012,1,NA,NA,NA,NA
2021,06,02364,California,Apple Valley town,race-ethnicity,Other Races and Ethnicities,0.9444592933126638,1,NA,NA,NA,NA
2021,06,02364,California,Apple Valley town,race-ethnicity,Black,0.8736095128500192,2,NA,NA,NA,NA
2021,06,02364,California,Apple Valley town,race-ethnicity,Hispanic,0.949354124682018,1,NA,NA,NA,NA
2021,06,02364,California,Apple Valley town,race-ethnicity,White,0.9459622494648764,1,NA,NA,NA,NA
2021,06,03526,California,Bakersfield city,all,All,0.9187347651195216,1,NA,NA,NA,NA
2021,06,03526,California,Bakersfield city,race-ethnicity,Other Races and Ethnicities,0.9227685767678064,1,NA,NA,NA,NA
2021,06,03526,California,Bakersfield city,race-ethnicity,Black,0.8571325596482375,1,NA,NA,NA,NA
2021,06,03526,California,Bakersfield city,race-ethnicity,Hispanic,0.9193747707042036,1,NA,NA,NA,NA
2021,06,03526,California,Bakersfield city,race-ethnicity,White,0.9236898201102216,1,NA,NA,NA,NA
2021,06,04982,California,Bellflower city,all,All,0.8824332869609207,1,NA,NA,NA,NA
2021,06,04982,California,Bellflower city,race-ethnicity,Other Races and Ethnicities,0.8847269006097301,1,NA,NA,NA,NA
2021,06,04982,California,Bellflower city,race-ethnicity,Black,0.8743947030338967,1,NA,NA,NA,NA
2021,06,04982,California,Bellflower city,race-ethnicity,Hispanic,0.8848321227314606,1,NA,NA,NA,NA
2021,06,04982,California,Bellflower city,race-ethnicity,White,0.8812429122249943,1,NA,NA,NA,NA
2021,06,06000,California,Berkeley city,all,All,0.8435208641634687,1,NA,NA,NA,NA
2021,06,06000,California,Berkeley city,race-ethnicity,Other Races and Ethnicities,0.7882052261978694,1,NA,NA,NA,NA
2021,06,06000,California,Berkeley city,race-ethnicity,Black,0.760281627179258,1,NA,NA,NA,NA
2021,06,06000,California,Berkeley city,race-ethnicity,Hispanic,0.7328532475704398,1,NA,NA,NA,NA
2021,06,06000,California,Berkeley city,race-ethnicity,White,0.8880118616719724,1,NA,NA,NA,NA
2021,06,08786,California,Buena Park city,all,All,0.9351227760973636,1,NA,NA,NA,NA
2021,06,08786,California,Buena Park city,race-ethnicity,Other Races and Ethnicities,0.9483972184531886,1,NA,NA,NA,NA
2021,06,08786,California,Buena Park city,race-ethnicity,Black,0.9045936395759716,2,NA,NA,NA,NA
2021,06,08786,California,Buena Park city,race-ethnicity,Hispanic,0.9147215865751336,1,NA,NA,NA,NA
2021,06,08786,California,Buena Park city,race-ethnicity,White,0.9189971628741822,1,NA,NA,NA,NA
2021,06,08954,California,Burbank city,all,All,0.9156514287843224,1,NA,NA,NA,NA
2021,06,08954,California,Burbank city,race-ethnicity,Other Races and Ethnicities,0.964449469254444,1,NA,NA,NA,NA
2021,06,08954,California,Burbank city,race-ethnicity,Black,0.936208445642408,3,NA,NA,NA,NA
2021,06,08954,California,Burbank city,race-ethnicity,Hispanic,0.9283731477499316,1,NA,NA,NA,NA
2021,06,08954,California,Burbank city,race-ethnicity,White,0.8931742931161076,1,NA,NA,NA,NA
2021,06,11194,California,Carlsbad city,all,All,0.96155252572742,1,NA,NA,1,2255.123723353211
2021,06,11194,California,Carlsbad city,race-ethnicity,Other Races and Ethnicities,0.96363001203276,1,NA,NA,1,291.78824510212587
2021,06,11194,California,Carlsbad city,race-ethnicity,Black,0.922922252010724,3,NA,NA,1,35000
2021,06,11194,California,Carlsbad city,race-ethnicity,Hispanic,0.9628133020258832,1,NA,NA,1,0
2021,06,11194,California,Carlsbad city,race-ethnicity,White,0.9615994886019884,1,NA,NA,1,2765.4524816840367
2021,06,11530,California,Carson city,all,All,0.9348712987886943,1,NA,NA,NA,NA
2021,06,11530,California,Carson city,race-ethnicity,Other Races and Ethnicities,0.9560179440679584,1,NA,NA,NA,NA
2021,06,11530,California,Carson city,race-ethnicity,Black,0.9311750374812594,1,NA,NA,NA,NA
2021,06,11530,California,Carson city,race-ethnicity,Hispanic,0.9227160425283848,1,NA,NA,NA,NA
2021,06,11530,California,Carson city,race-ethnicity,White,0.8867368421052632,1,NA,NA,NA,NA
2021,06,13014,California,Chico city,all,All,0.910758628655027,1,NA,NA,NA,NA
2021,06,13014,California,Chico city,race-ethnicity,Other Races and Ethnicities,0.905670841613902,1,NA,NA,NA,NA
2021,06,13014,California,Chico city,race-ethnicity,Black,0.8576744186046512,2,NA,NA,NA,NA
2021,06,13014,California,Chico city,race-ethnicity,Hispanic,0.9268111270888084,1,NA,NA,NA,NA
2021,06,13014,California,Chico city,race-ethnicity,White,0.9135574390533135,1,NA,NA,NA,NA
2021,06,13210,California,Chino city,all,All,0.8394310969328416,1,NA,NA,NA,NA
2021,06,13210,California,Chino city,race-ethnicity,Other Races and Ethnicities,0.8498784573943893,1,NA,NA,NA,NA
2021,06,13210,California,Chino city,race-ethnicity,Black,0.6946197276652275,2,NA,NA,NA,NA
2021,06,13210,California,Chino city,race-ethnicity,Hispanic,0.8524159337816865,1,NA,NA,NA,NA
2021,06,13210,California,Chino city,race-ethnicity,White,0.849665751153029,1,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,all,All,0.975584501911056,1,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,race-ethnicity,Other Races and Ethnicities,0.9800161124289488,1,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,race-ethnicity,Black,0.9842197545295148,2,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,race-ethnicity,Hispanic,0.9753491423751054,1,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,race-ethnicity,White,0.9680289499020616,1,NA,NA,NA,NA
2021,06,13392,California,Chula Vista city,all,All,0.943402542773763,1,NA,NA,1,1418.0461789820895
2021,06,13392,California,Chula Vista city,race-ethnicity,Other Races and Ethnicities,0.9607812216641568,1,NA,NA,1,166.4319549353476
2021,06,13392,California,Chula Vista city,race-ethnicity,Black,0.9240027510316368,2,NA,NA,1,3470.715835140998
2021,06,13392,California,Chula Vista city,race-ethnicity,Hispanic,0.9449914823182592,1,NA,NA,1,0
2021,06,13392,California,Chula Vista city,race-ethnicity,White,0.9290001573611288,1,NA,NA,1,2319.554230918751
2021,06,13588,California,Citrus Heights city,all,All,0.9071994149975434,1,NA,NA,NA,NA
2021,06,13588,California,Citrus Heights city,race-ethnicity,Other Races and Ethnicities,0.8933910773611771,1,NA,NA,NA,NA
2021,06,13588,California,Citrus Heights city,race-ethnicity,Black,0.8198717948717948,2,NA,NA,NA,NA
2021,06,13588,California,Citrus Heights city,race-ethnicity,Hispanic,0.8629668758933565,1,NA,NA,NA,NA
2021,06,13588,California,Citrus Heights city,race-ethnicity,White,0.914679102820342,1,NA,NA,NA,NA
2021,06,14218,California,Clovis city,all,All,0.9549827830666396,1,NA,NA,NA,NA
2021,06,14218,California,Clovis city,race-ethnicity,Other Races and Ethnicities,0.9565886088509624,1,NA,NA,NA,NA
2021,06,14218,California,Clovis city,race-ethnicity,Black,0.961603139013453,2,NA,NA,NA,NA
2021,06,14218,California,Clovis city,race-ethnicity,Hispanic,0.9667694931407218,1,NA,NA,NA,NA
2021,06,14218,California,Clovis city,race-ethnicity,White,0.9537985202659232,1,NA,NA,NA,NA
2021,06,15044,California,Compton city,all,All,0.7935118595381077,1,NA,NA,NA,NA
2021,06,15044,California,Compton city,race-ethnicity,Other Races and Ethnicities,0.7983884229567505,1,NA,NA,NA,NA
2021,06,15044,California,Compton city,race-ethnicity,Black,0.7684093266239004,1,NA,NA,NA,NA
2021,06,15044,California,Compton city,race-ethnicity,Hispanic,0.8016933377368121,1,NA,NA,NA,NA
2021,06,15044,California,Compton city,race-ethnicity,White,0.8129614054761237,1,NA,NA,NA,NA
2021,06,16000,California,Concord city,all,All,0.9384904070160374,1,NA,NA,NA,NA
2021,06,16000,California,Concord city,race-ethnicity,Other Races and Ethnicities,0.9404049210500824,1,NA,NA,NA,NA
2021,06,16000,California,Concord city,race-ethnicity,Black,0.8915821947994711,2,NA,NA,NA,NA
2021,06,16000,California,Concord city,race-ethnicity,Hispanic,0.9181161711996628,1,NA,NA,NA,NA
2021,06,16000,California,Concord city,race-ethnicity,White,0.9401287060445874,1,NA,NA,NA,NA
2021,06,16350,California,Corona city,all,All,0.9204784470743266,1,NA,NA,NA,NA
2021,06,16350,California,Corona city,race-ethnicity,Other Races and Ethnicities,0.9199450986057937,1,NA,NA,NA,NA
2021,06,16350,California,Corona city,race-ethnicity,Black,0.8953561672620298,2,NA,NA,NA,NA
2021,06,16350,California,Corona city,race-ethnicity,Hispanic,0.9007279861631,1,NA,NA,NA,NA
2021,06,16350,California,Corona city,race-ethnicity,White,0.9239675898421206,1,NA,NA,NA,NA
2021,06,16532,California,Costa Mesa city,all,All,0.9316884830759352,1,NA,NA,NA,NA
2021,06,16532,California,Costa Mesa city,race-ethnicity,Other Races and Ethnicities,0.9256446991404012,1,NA,NA,NA,NA
2021,06,16532,California,Costa Mesa city,race-ethnicity,Black,0.9125235997482694,2,NA,NA,NA,NA
2021,06,16532,California,Costa Mesa city,race-ethnicity,Hispanic,0.9322576641429812,1,NA,NA,NA,NA
2021,06,16532,California,Costa Mesa city,race-ethnicity,White,0.9358173531938438,1,NA,NA,NA,NA
2021,06,17918,California,Daly City city,all,All,0.9293325962216672,1,NA,NA,NA,NA
2021,06,17918,California,Daly City city,race-ethnicity,Other Races and Ethnicities,0.9455177172145286,1,NA,NA,NA,NA
